TRIAL,CONVERSATION
INTERACTION 46,--------------------------------------------------------------------------------------------------------------------------------

46,I'm looking for this sony A6000 model but I don't know anything about it. how many artistic effects does it have?
46,it has up to 5 artistic effects.
46,I always enjoy those kind of effects in a camera. how about the price?
46,it costs 500 dollars. you won't find a better price elsewhere
46,550 dollars its a bit expensive for me.I don't know much about cameras. do you have anything cheaper?
46,yes we do. Let me show you the Nikon Coolpix. Follow me please.
46,this one cost 68 dollars
46,that's a huge difference from the previous one. how many manual settings does it have?
46,it has limited manual settings as its an automatic camera with 18 preset modes to choose from.
46,18 preset modes good. I don't know. I'll have to study about that

INTERACTION 47,--------------------------------------------------------------------------------------------------------------------------------

47,may I help you?
47,how much does it wait this canon camera?
47,the body only is 950 grams and you have to buy extra lenses
47,and what is its price?
47,it's $1800 just the body. The lenses are not included
47,"that's pretty expensive okay let me look at some other cameras"
47,"For example, is this a Nikon Coolpix S 2800? this is the newest model, isn't it? what its price?"
47,this one is only $68
47,okay $68 seems like a pretty good price. how many megapixels does it have?
47,I am not sure… 30 maybe.
47,okay okay thank you









